ID	Name	Geolocatiion_latitude	Geolocatiion_longitude	Ownership	AddressNum	Street	City	State	Zipcode	YearMonumentalized	YearBuilt	Category	Type	Status	Gender	Ethnicity	Controversy	Vandalized	Comments	Source	ImageFileName	Copyright
280	Bill Russell	-71.0592222	42.3603261		1	City hall square	Boston	MA	2201		2013	Statue		Original Location	male	black						
316	Harvard Bixi	-71.116944	42.373611				Cambridge	MA	2138			Object			other	other						
310	George Robert White Memorial	-71.072145	42.355336				Boston	MA	2116		1924	Statue		Original Location	1 Male/ 1 Female	white			woman depicted (angel) but memorial is to man (George Robert White)			
321	Hungarian Revolution Memorial	-71.054833	42.357733		1	Liberty Square	Boston	MA	2109		1986	Statue		Original Location	1 Male/ 1 Female	white						
346	Anne Hutchinson	-71.06436	42.357795		24	Beacon St	Boston	MA	2133		1922	Statue		Original Location	female	white						
266	Mary Dyer	-71.062884	42.357978		151	Bowdoin St	Boston	MA	2108		1959	Statue		Original Location	female	white						
215	Abiel Smith School	-71.065122	42.360012		46	Joy St	Boston	MA	2114		1833	Building		Original Location	male	white			"In 1815 white businessman Abiel Smith died and bequeathed $4,000 for the education of African American children in Boston. The Abiel Smith School, located at 46 Joy Street, was constructed between 1834 and 1835. It was built by the City of Boston to house the African School and was one of the earliest buildings designed by architect Richard Upjohn. Starting in 1787, many black Bostonians fought tirelessly against the inequality and discrimination in public schools. At that early date, numerous community members, including Prince Hall, petitioned the state legislature claiming that it was unjust for their taxes to support the education of white children when the city had no school for black children. However, a small number of African American children did attend the city’s white schools in the early 1800s. In 1798, sixty members of the black community organized the African School in order to educate their children. This school first met in the home of Primus Hall. It moved into the first floor room of the African Meeting House in 1808. At this date, the African American children who were enrolled in Boston public schools moved their enrollment to the African School. In 1812, the Boston School Committee finally became worn down by decades of petitions and requests; they officially recognized the African School and started providing partial funding ($200 yearly), but the condition of this school remained poor and space was inadequate."	https://africanamericantrailproject.tufts.edu/19th-century-sites		
77	Adams Nervine Asylum	-71.124012	42.305904		990-1020	Centre Street	Jamaica Plain	MA		5/10/77		Building		Original Location	male	white			"The historical significance of the property lies chiefly in its development as a medical treatment center that embodied progressive ideals and methods. The Asylum was incorporated in 1877 and opened in 1880. The purchase of the Jamaica Plain estate of J. Gardiner Weld, a commercial merchant who died c. 1876 prior to inhabiting his new mansion, was made possible by Seth Adams, who made his fortune at his sugar refinery in South Boston that had begun in 1858. The Adams brothers (Seth and Isaac) previously had manufactured printing presses and machinery. Seth Adams at his death bequeathed $600,000 for establishment of a curative institution for the benefit of indigent, debilitated, nervous people, inhabitants of the State who are not insane."	http://bit.ly/1qg2xSL		
272	Alexander Hamilton (Boston)	-71.072503	42.353613			Commonwealth Ave	Boston	MA	2116		1865	Statue		Original Location	male	white						
275	Aristides (Boston)	-71.068661	42.358471			Louisburg Square	Boston	MA	2108		1734	Statue		Original Location	male	white						
277	Arthur Fiedler Memorial	-71.075381	42.356552			Charles River Esplanade	Boston	MA	2114			Statue		Original Location	male	white						
250	Benjamin Franklin (Boston)	-71.05957	42.357954		45	School St	Boston	MA	2108	1856	1856	Statue		Original Location	male	white			- the first public statue of a person erected in Boston.	https://www.boston-discovery-guide.com/benjamin-franklin-statue.html	250_01	Boston Discovery Guide.com
288	Bust of Patrick Collins	-71.076903	42.35221			Commonwealth Ave	Boston	MA	2116		1908	Statue		Relocated	male	white						
252	Charles Sumner (Boston)	-71.069798	42.352373		191	Boylston St	Boston	MA	2116		1878	Statue		Original Location	male	white						
294	Charles Sumner (Boston)	-71.069853	42.35236			Boston Public Garden	Boston	MA	2116		1878	Statue		Original Location	male	white						
253	"Charles Sumner (Cambridge, Massachusetts)"	-71.118776	42.374599			Massachusetts Ave	Cambridge	MA	2138		1900	Statue		Original Location	male	white				"https://commons.wikimedia.org/wiki/Category:Charles_Sumner_by_Anne_Whitney#/media/File:Charles_Sumner_statue_(Cambridge,_MA)_-_Anne_Whitney_sculptor.JPG"	253_01	Wikimedia
293	Commonwealth Ave	-71.072998	42.359433			Charles River Esplanade	Boston	MA	2114			Statue		Original Location	male	white						
292	Cy Young	-71.088776	42.339049							1993		Statue		Original Location	male	white						
301	Daniel Webster (Boston)	-71.0638	42.357917							1858		Statue		Original Location	male	white						
